epochs, batch_size, lrate, decay, truefalse, final_accuracy
(500, 16, 1e-05, 2e-08, 0, 35.13513532307771)
(500, 16, 1e-05, 2e-08, 1, 39.63963977388433)
(500, 16, 0.0001, 2.0000000000000002e-07, 0, 28.8288291510161)
(500, 16, 0.0001, 2.0000000000000002e-07, 1, 27.927928250115198)
(500, 16, 0.001, 2e-06, 0, 13.513513594060331)
(500, 16, 0.001, 2e-06, 1, 14.41441449496123)
(500, 16, 0.01, 2e-05, 0, 27.927927927927925)
(500, 16, 0.01, 2e-05, 1, 27.927927927927925)
(500, 16, 0.1, 0.0002, 0, 27.927927927927925)
(500, 16, 0.1, 0.0002, 1, 21.62162162162162)
(500, 16, 0.5, 0.001, 0, 27.927927927927925)
(500, 16, 0.5, 0.001, 1, 26.126126126126124)
(500, 16, 1.0, 0.002, 0, 21.62162162162162)
(500, 16, 1.0, 0.002, 1, 27.927927927927925)
(500, 16, 5.0, 0.01, 0, 21.62162162162162)
(500, 16, 5.0, 0.01, 1, 26.126126126126124)
(500, 16, 10.0, 0.02, 0, 26.126126126126124)
(500, 16, 10.0, 0.02, 1, 27.927927927927925)
(500, 16, 100.0, 0.2, 0, 27.927927927927925)
(500, 16, 100.0, 0.2, 1, 26.126126126126124)
(500, 32, 1e-06, 1.9999999999999997e-09, 0, 27.927927927927925)
(500, 32, 1e-06, 1.9999999999999997e-09, 1, 27.927927927927925)
(500, 32, 1e-05, 2e-08, 0, 40.540540674785234)
(500, 32, 1e-05, 2e-08, 1, 40.540540674785234)
(500, 32, 0.0001, 2.0000000000000002e-07, 0, 29.729729998219124)
(500, 32, 0.0001, 2.0000000000000002e-07, 1, 32.43243270092183)
(500, 32, 0.001, 2e-06, 0, 15.315315691200462)
(500, 32, 0.001, 2e-06, 1, 14.414414441263354)
(500, 32, 0.01, 2e-05, 0, 27.927927927927925)
(500, 32, 0.01, 2e-05, 1, 27.927927927927925)
(500, 32, 0.1, 0.0002, 0, 27.927927927927925)
(500, 32, 0.1, 0.0002, 1, 27.927927927927925)
(500, 32, 0.5, 0.001, 0, 27.927927927927925)
(500, 32, 0.5, 0.001, 1, 26.126126126126124)
(500, 32, 1.0, 0.002, 0, 21.62162162162162)
(500, 32, 1.0, 0.002, 1, 26.126126126126124)
(500, 32, 5.0, 0.01, 0, 27.927927927927925)
(500, 32, 5.0, 0.01, 1, 27.927927927927925)
(500, 32, 10.0, 0.02, 0, 26.126126126126124)
(500, 32, 10.0, 0.02, 1, 27.927927927927925)
(500, 32, 100.0, 0.2, 0, 27.927927927927925)
(500, 32, 100.0, 0.2, 1, 26.126126126126124)
(500, 64, 1e-06, 1.9999999999999997e-09, 0, 27.927927927927925)
(500, 64, 1e-06, 1.9999999999999997e-09, 1, 27.927927927927925)
(500, 64, 1e-05, 2e-08, 0, 36.93693725912421)
(500, 64, 1e-05, 2e-08, 1, 35.135135161984074)
(500, 64, 0.0001, 2.0000000000000002e-07, 0, 35.13513526937983)
(500, 64, 0.0001, 2.0000000000000002e-07, 1, 30.63063071117745)
(500, 64, 0.001, 2e-06, 0, 15.315315342164254)
(500, 64, 0.001, 2e-06, 1, 15.315315691200462)
(500, 64, 0.01, 2e-05, 0, 23.423423503970238)
(500, 64, 0.01, 2e-05, 1, 27.927927927927925)
(500, 64, 0.1, 0.0002, 0, 26.126126126126124)
(500, 64, 0.1, 0.0002, 1, 27.927927927927925)
(500, 64, 0.5, 0.001, 0, 27.927927927927925)
(500, 64, 0.5, 0.001, 1, 27.927927927927925)
(500, 64, 1.0, 0.002, 0, 26.126126126126124)
(500, 64, 1.0, 0.002, 1, 27.927927927927925)
(500, 64, 5.0, 0.01, 0, 27.927927927927925)
(500, 64, 5.0, 0.01, 1, 27.927927927927925)
(500, 64, 10.0, 0.02, 0, 27.927927927927925)
(500, 64, 10.0, 0.02, 1, 26.126126126126124)
(500, 64, 100.0, 0.2, 0, 27.927927927927925)
(500, 64, 100.0, 0.2, 1, 26.126126126126124)
(500, 128, 1e-06, 1.9999999999999997e-09, 0, 27.927927927927925)
(500, 128, 1e-06, 1.9999999999999997e-09, 1, 27.927927927927925)
(500, 128, 1e-05, 2e-08, 0, 35.135135161984074)
(500, 128, 1e-05, 2e-08, 1, 36.93693698392258)
